office_id,term_start,holder_id,term_end,source_id
IN-U05-CM,2015-02-14,arvind-kejriwal,2024-09-21,src-43a0412da466
IN-U05-CM,2024-09-21,atishi,2025-02-20,src-43a0412da466
IN-U05-CM,2025-02-20,rekha-gupta,,src-43a0412da466
IN-U07-CM,1990-03-04,d-ramachandran,1991-03-03,src-ac976494bf5e
IN-U07-CM,1991-03-04,,1991-07-04,src-ac976494bf5e
IN-U07-CM,1991-07-04,v-vaithilingam,1996-05-13,src-ac976494bf5e
IN-U07-CM,1996-05-26,r-v-janakiraman,2000-03-22,src-ac976494bf5e
IN-U07-CM,2000-03-22,p-shanmugam,2001-05-14,src-ac976494bf5e
IN-U07-CM,2001-05-14,n-rangaswamy,2008-09-04,src-ac976494bf5e
IN-U07-CM,2008-09-04,v-vaithilingam,2011-05-16,src-ac976494bf5e
IN-U07-CM,2011-05-16,n-rangaswamy,2016-06-06,src-ac976494bf5e
IN-U07-CM,2016-06-06,v-narayanasamy,2021-02-22,src-ac976494bf5e
IN-U07-CM,2021-02-25,,2021-05-07,src-ac976494bf5e
IN-U07-CM,2021-05-07,n-rangaswamy,,src-ac976494bf5e
IN-U08-CM,1990-01-19,,1996-10-09,src-cb5a1a546e33
IN-U08-CM,1996-10-09,farooq-abdullah,2002-10-18,src-cb5a1a546e33
IN-U08-CM,2002-10-18,,2002-11-02,src-cb5a1a546e33
IN-U08-CM,2002-11-02,mufti-mohammad-sayeed,2005-11-02,src-cb5a1a546e33
IN-U08-CM,2005-11-02,ghulam-nabi-azad,2008-07-11,src-cb5a1a546e33
IN-U08-CM,2008-07-11,,2009-01-05,src-cb5a1a546e33
IN-U08-CM,2009-01-05,omar-abdullah,2014-12-23,src-cb5a1a546e33
IN-U08-CM,2014-12-23,,2015-03-01,src-cb5a1a546e33
IN-U08-CM,2015-03-01,mufti-mohammad-sayeed,2016-01-07,src-cb5a1a546e33
IN-U08-CM,2016-01-08,,2016-04-04,src-cb5a1a546e33
IN-U08-CM,2016-04-04,mehbooba-mufti,2018-06-19,src-cb5a1a546e33
IN-U08-CM,2018-06-19,,2024-10-16,src-cb5a1a546e33
IN-U08-CM,2024-10-16,omar-abdullah,,src-cb5a1a546e33
IN-VPRES,2017-08-11,shri-m-venkaiah-naidu,2022-08-10,src-98d6c0d9d447
IN-VPRES,2022-08-11,shri-jagdeep-dhankhar,2025-07-21,src-98d6c0d9d447
IN-VPRES,2025-09-12,shri-c-p-radhakrishnan,,src-44a71924a22f
