state_entity_id,event_id,kind,display,polled_on,term_end_estimated,data_status,notes
jharkhand,assembly-2014,assembly,Jharkhand Assembly · November-December 2014,2014-12-20,2019-12-19,complete,81 ACs. Five-phase poll from 25 November to 20 December 2014; event date records the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
jharkhand,assembly-2019,assembly,Jharkhand Assembly · November-December 2019,2019-12-20,2024-12-19,complete,"Five-phase poll: 30 November, 7 December, 12 December, 16 December, 20 December 2019. 81 ACs. Ingested from hand-downloaded old.eci.gov.in Section 10 XLSX (sources: [])."
jharkhand,assembly-2005,assembly,Jharkhand Assembly · February 2005,2005-02-23,2010-02-22,complete,81 ACs. First Jharkhand Assembly election after state formation; three-phase poll from 3 to 23 February 2005. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
jharkhand,assembly-2024,assembly,Jharkhand Assembly · November 2024,2024-11-20,2029-11-19,complete,
jharkhand,general-2019,parliament,Jharkhand · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
jharkhand,general-2024,parliament,Jharkhand · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
karnataka,assembly-2004,assembly,Karnataka Assembly · April 2004,2004-04-26,2009-04-25,complete,224 ACs. Two-phase poll on 20 and 26 April 2004; event date records the final polling day rather than the panel's May month. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
karnataka,assembly-1994,assembly,Karnataka Assembly · December 1994,1994-12-01,1999-11-30,complete,224 ACs. Two-phase poll on 26 November and 1 December 1994; event date records the final polling day rather than the panel's November month. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
karnataka,assembly-1978,assembly,Karnataka Assembly · February 1978,1978-02-01,1983-01-31,complete,"224 ACs. Panel month is February 1978; public election page exposes the year and ECI report but not an exact polling day, so the month-first date is used. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3)."
karnataka,assembly-1983,assembly,Karnataka Assembly · May 1983,1983-05-01,1988-04-30,complete,"224 ACs. Panel month is May 1983; public election page exposes the year and ECI report but not an exact polling day, so the month-first date is used. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3)."
karnataka,assembly-1985,assembly,Karnataka Assembly · May 1985,1985-05-01,1990-04-30,complete,"224 ACs. Panel month is May 1985; public election page exposes the year and ECI report but not an exact polling day, so the month-first date is used. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3)."
karnataka,assembly-2008,assembly,Karnataka Assembly · May 2008,2008-05-22,2013-05-21,complete,"224 ACs. Three-phase poll on 10, 16, and 22 May 2008; event date records the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4)."
karnataka,assembly-2013,assembly,Karnataka Assembly · May 2013,2013-05-05,2018-05-04,complete,224 ACs. Main poll held on 5 May 2013; Periyapatna was postponed to 28 May 2013 after a candidate death. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
karnataka,assembly-2018,assembly,Karnataka Assembly · May 2018,2018-05-12,2023-05-11,complete,Single-phase poll on 12 May 2018 (2 ACs polled later). 223 ACs in Section 10 dump. Ingested from hand-downloaded old.eci.gov.in Section 10 XLSX (sources: []).
karnataka,assembly-2023,assembly,Karnataka Assembly · May 2023,2023-05-10,2028-05-09,complete,Single-phase poll on 10 May 2023. 224 ACs. Ingested from hand-downloaded old.eci.gov.in Section 10 XLSX (sources: []).
karnataka,assembly-1989,assembly,Karnataka Assembly · November 1989,1989-11-01,1994-10-31,complete,"224 ACs. Panel month is November 1989; public election page exposes the year and ECI report but not an exact polling day, so the month-first date is used. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3)."
karnataka,assembly-1999,assembly,Karnataka Assembly · September 1999,1999-09-11,2004-09-10,complete,224 ACs. Two-phase poll on 5 and 11 September 1999; event date records the final polling day rather than the panel's October month. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
karnataka,general-2019,parliament,Karnataka · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
karnataka,general-2024,parliament,Karnataka · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
kerala,assembly-1996,assembly,Kerala Assembly · April 1996,1996-04-27,2001-04-26,complete,140 ACs. Poll held on 27 April 1996; event id follows the public polling month rather than the panel's month value. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
kerala,assembly-2011,assembly,Kerala Assembly · April 2011,2011-04-13,2016-04-12,complete,140 ACs. Poll held on 13 April 2011; event id follows the public polling month rather than the panel's month value. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
kerala,assembly-2021,assembly,Kerala Assembly · April 2021,2021-04-06,2026-04-05,complete,Single-phase poll on 6 April 2021. 140 ACs. Shared event_id with Assam 2021. Ingested from hand-downloaded old.eci.gov.in Section 10 XLSX (sources: []).
kerala,assembly-1980,assembly,Kerala Assembly · January 1980,1980-01-05,1985-01-04,complete,140 ACs. Two-phase poll on 3 and 5 January 1980; event date records the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
kerala,assembly-1991,assembly,Kerala Assembly · June 1991,1991-06-18,1996-06-17,complete,140 ACs. Poll held on 18 June 1991; event id follows the public polling month rather than the panel's month value. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
kerala,assembly-1977,assembly,Kerala Assembly · March 1977,1977-03-19,1982-03-18,complete,140 ACs. Poll held on 19 March 1977. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
kerala,assembly-1987,assembly,Kerala Assembly · March 1987,1987-03-23,1992-03-22,complete,140 ACs. Main poll held on 23 March 1987; two constituencies were delayed until 2 June 1987 after countermanding. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
kerala,assembly-1982,assembly,Kerala Assembly · May 1982,1982-05-19,1987-05-18,complete,140 ACs. Poll held on 19 May 1982. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
kerala,assembly-2001,assembly,Kerala Assembly · May 2001,2001-05-10,2006-05-09,complete,140 ACs. Poll held on 10 May 2001. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
kerala,assembly-2006,assembly,Kerala Assembly · May 2006,2006-05-03,2011-05-02,complete,"140 ACs. Three-phase poll on 22 April, 29 April, and 3 May 2006; event date records the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3)."
kerala,assembly-2016,assembly,Kerala Assembly · May 2016,2016-05-16,2021-05-15,complete,Single-phase poll on 16 May 2016. 140 ACs. Ingested from hand-downloaded old.eci.gov.in Section 10 XLSX (sources: []).
kerala,assembly-2026,assembly,Kerala Assembly · May 2026,2026-05-08,2031-05-07,complete,
kerala,general-2019,parliament,Kerala · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
kerala,general-2024,parliament,Kerala · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
ladakh,general-2024,parliament,Ladakh · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
lakshadweep,general-2019,parliament,Lakshadweep · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
lakshadweep,general-2024,parliament,Lakshadweep · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
madhya-pradesh,assembly-1985,assembly,Madhya Pradesh Assembly · February 1985,1985-02-03,1990-02-02,complete,320 ACs. Poll held on 3 February 1985. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
madhya-pradesh,assembly-1990,assembly,Madhya Pradesh Assembly · February 1990,1990-02-27,1995-02-26,complete,320 ACs. Poll held on 27 February 1990. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
madhya-pradesh,assembly-1980,assembly,Madhya Pradesh Assembly · May 1980,1980-05-31,1985-05-30,complete,320 ACs. Poll held on 28 and 31 May 1980; event date uses the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
madhya-pradesh,assembly-1993,assembly,Madhya Pradesh Assembly · November 1993,1993-11-24,1998-11-23,complete,320 ACs. Poll held on 24 November 1993. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
madhya-pradesh,assembly-1998,assembly,Madhya Pradesh Assembly · November 1998,1998-11-27,2003-11-26,complete,320 ACs. Last election before the Madhya Pradesh Reorganisation Act carved out Chhattisgarh; poll held on 27 November 1998. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
madhya-pradesh,assembly-2003,assembly,Madhya Pradesh Assembly · November 2003,2003-11-27,2008-11-26,complete,230 ACs. First post-Chhattisgarh-split Madhya Pradesh Assembly election; poll held on 27 November 2003. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
madhya-pradesh,assembly-2008,assembly,Madhya Pradesh Assembly · November 2008,2008-11-27,2013-11-26,complete,230 ACs. Poll held on 27 November 2008; event date records the public polling day rather than the panel's December month. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
madhya-pradesh,assembly-2013,assembly,Madhya Pradesh Assembly · November 2013,2013-11-25,2018-11-24,complete,230 ACs. Poll held on 25 November 2013; event date records the public polling day rather than the panel's December month. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
madhya-pradesh,assembly-2018,assembly,Madhya Pradesh Assembly · November 2018,2018-11-28,2023-11-27,complete,230 ACs. Poll held on 28 November 2018; event date records the public polling day rather than the panel's December month. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
madhya-pradesh,assembly-2023,assembly,Madhya Pradesh Assembly · November 2023,2023-11-17,2028-11-16,complete,Single-phase poll on 17 November 2023; counting on 3 December 2023. BJP won 163 of 230 seats. Ingested from the legacy /full-statistical-reports/ static URL template (no /api/election-result entry).
madhya-pradesh,assembly-1977,assembly,Madhya Pradesh Assembly · October 1977,1977-10-06,1982-10-05,complete,320 ACs. Poll held on 6 October 1977. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
madhya-pradesh,general-2019,parliament,Madhya Pradesh · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
madhya-pradesh,general-2024,parliament,Madhya Pradesh · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
maharashtra,assembly-1962,assembly,Maharashtra Assembly · February 1962,1962-02-01,1967-01-31,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
maharashtra,assembly-1967,assembly,Maharashtra Assembly · February 1967,1967-02-01,1972-02-29,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
maharashtra,assembly-1978,assembly,Maharashtra Assembly · February 1978,1978-02-01,1980-04-30,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
maharashtra,assembly-1985,assembly,Maharashtra Assembly · February 1985,1985-02-01,1990-01-31,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
maharashtra,assembly-1990,assembly,Maharashtra Assembly · February 1990,1990-02-01,1995-02-28,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
maharashtra,assembly-1972,assembly,Maharashtra Assembly · March 1972,1972-03-01,1978-01-31,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
maharashtra,assembly-1995,assembly,Maharashtra Assembly · March 1995,1995-03-01,1999-09-30,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
maharashtra,assembly-1980,assembly,Maharashtra Assembly · May 1980,1980-05-01,1985-01-31,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
maharashtra,assembly-2024,assembly,Maharashtra Assembly · November 2024,2024-11-20,2029-11-19,complete,
maharashtra,assembly-1999,assembly,Maharashtra Assembly · October 1999,1999-10-01,2004-09-30,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
maharashtra,assembly-2004,assembly,Maharashtra Assembly · October 2004,2004-10-01,2009-09-30,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
maharashtra,assembly-2009,assembly,Maharashtra Assembly · October 2009,2009-10-01,2014-09-30,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
maharashtra,assembly-2014,assembly,Maharashtra Assembly · October 2014,2014-10-01,2019-09-30,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
maharashtra,assembly-2019,assembly,Maharashtra Assembly · October 2019,2019-10-01,2024-11-19,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
maharashtra,general-2019,parliament,Maharashtra · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
maharashtra,general-2024,parliament,Maharashtra · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
manipur,assembly-1984,assembly,Manipur Assembly · December 1984-May 1985,1984-12-27,1989-12-26,complete,60 ACs. Election began on 27 December 1984 with residual polling on 3 May 1985; event id follows the panel year/month. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
manipur,assembly-1990,assembly,Manipur Assembly · February 1990,1990-02-12,1995-02-11,complete,54 contested ACs in the panel slice. Single-phase poll on 12 February 1990. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
manipur,assembly-1995,assembly,Manipur Assembly · February 1995,1995-02-19,2000-02-18,complete,60 ACs. Two-phase poll on 16 and 19 February 1995; event date records the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
manipur,assembly-2000,assembly,Manipur Assembly · February 2000,2000-02-22,2005-02-21,complete,60 ACs. Two-phase poll on 12 and 22 February 2000; event date records the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
manipur,assembly-2002,assembly,Manipur Assembly · February 2002,2002-02-21,2007-02-20,complete,60 ACs. Two-phase poll on 14 and 21 February 2002; event date records the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
manipur,assembly-2007,assembly,Manipur Assembly · February 2007,2007-02-23,2012-02-22,complete,60 ACs. Multi-phase poll from 8 to 23 February 2007; event date records the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
manipur,assembly-1980,assembly,Manipur Assembly · January 1980,1980-01-06,1985-01-05,complete,60 ACs. Two-phase poll on 3 and 6 January 1980; event date records the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
manipur,assembly-2012,assembly,Manipur Assembly · January 2012,2012-01-28,2017-01-27,complete,60 ACs. Single-phase poll on 28 January 2012. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
manipur,assembly-2017,assembly,Manipur Assembly · March 2017,2017-03-04,2022-03-03,complete,"Two-phase poll: 4 March, 8 March 2017. 60 ACs. Ingested from hand-downloaded ECI Section-10 Statistical Report XLSX."
manipur,assembly-2022,assembly,Manipur Assembly · February-March 2022,2022-02-28,2027-02-27,complete,"Two-phase poll: 28 February, 5 March 2022. 60 ACs. Ingested from hand-downloaded ECI Section-10 Statistical Report XLSX."
manipur,general-2019,parliament,Manipur · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
manipur,general-2024,parliament,Manipur · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
meghalaya,assembly-1978,assembly,Meghalaya Assembly · February 1978,1978-02-25,1983-02-24,complete,60 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
meghalaya,assembly-1983,assembly,Meghalaya Assembly · February 1983,1983-02-17,1988-02-16,complete,60 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
meghalaya,assembly-1988,assembly,Meghalaya Assembly · February 1988,1988-02-02,1993-02-01,complete,60 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
meghalaya,assembly-1993,assembly,Meghalaya Assembly · February 1993,1993-02-19,1998-02-18,complete,60 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
meghalaya,assembly-1998,assembly,Meghalaya Assembly · February 1998,1998-02-16,2003-02-15,complete,60 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
meghalaya,assembly-2003,assembly,Meghalaya Assembly · February 2003,2003-02-26,2008-02-25,complete,60 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
meghalaya,assembly-2013,assembly,Meghalaya Assembly · February 2013,2013-02-23,2018-02-22,complete,60 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
meghalaya,assembly-2018,assembly,Meghalaya Assembly · February 2018,2018-02-27,2023-03-15,complete,Single-phase poll on 27 February 2018. 60 ACs (Williamnagar AC 43 countermanded after a candidate’s death). Ingested from hand-downloaded ECI Section-10 Statistical Report XLSX; pre-2019 reports use literal NULL in vote columns for ACs where no poll was held.
meghalaya,assembly-2023,assembly,Meghalaya Assembly · February 2023,2023-02-27,2028-02-26,complete,Single-phase poll on 27 February 2023. 59 ACs (Sohiong countermanded; held 22 May 2023). Ingested from hand-downloaded ECI Section-10 Statistical Report XLSX.
meghalaya,assembly-2008,assembly,Meghalaya Assembly · March 2008,2008-03-03,2013-03-02,complete,60 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
meghalaya,general-2019,parliament,Meghalaya · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
meghalaya,general-2024,parliament,Meghalaya · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
mizoram,assembly-1979,assembly,Mizoram Assembly · April 1979,1979-04-27,1984-04-26,complete,30 ACs. Two-phase poll on 24 and 27 April 1979; event date records the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
mizoram,assembly-1984,assembly,Mizoram Assembly · April 1984,1984-04-25,1989-04-24,complete,30 ACs. Poll held on 25 April 1984. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
mizoram,assembly-2008,assembly,Mizoram Assembly · December 2008,2008-12-02,2013-12-01,complete,40 ACs. Poll held on 2 December 2008. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
mizoram,assembly-1987,assembly,Mizoram Assembly · February 1987,1987-02-16,1992-02-15,complete,40 ACs. First statehood-era Mizoram Assembly election; poll held on 16 February 1987. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
mizoram,assembly-1978,assembly,Mizoram Assembly · May 1978,1978-05-20,1983-05-19,complete,30 ACs. Two-phase poll on 17 and 20 May 1978; event date records the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
mizoram,assembly-1989,assembly,Mizoram Assembly · November 1989,1989-11-22,1994-11-21,complete,40 ACs. Poll held on 22 November 1989 after President's Rule. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
mizoram,assembly-1993,assembly,Mizoram Assembly · November 1993,1993-11-30,1998-11-29,complete,40 ACs. Poll held on 30 November 1993. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
mizoram,assembly-1998,assembly,Mizoram Assembly · November 1998,1998-11-25,2003-11-24,complete,40 ACs. Poll held on 25 November 1998. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
mizoram,assembly-2003,assembly,Mizoram Assembly · November 2003,2003-11-20,2008-11-19,complete,40 ACs. Poll held on 20 November 2003. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
mizoram,assembly-2013,assembly,Mizoram Assembly · November 2013,2013-11-25,2018-11-24,complete,40 ACs. Poll held on 25 November 2013. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
mizoram,assembly-2018,assembly,Mizoram Assembly · November 2018,2018-11-28,2023-11-27,complete,40 ACs. Poll held on 28 November 2018. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
mizoram,assembly-2023,assembly,Mizoram Assembly · November 2023,2023-11-07,2028-11-06,complete,"Single-phase poll on 7 November 2023; counting on 4 December 2023 (delayed one day at state request to avoid Sunday). Zoram People's Movement (ZPM) won 27 of 40 seats, ending MNF rule. Ingested from the legacy /full-statistical-reports/ static URL template."
mizoram,general-2019,parliament,Mizoram · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
mizoram,general-2024,parliament,Mizoram · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
nagaland,assembly-1993,assembly,Nagaland Assembly · February 1993,1993-02-15,1998-02-14,complete,60 ACs. Poll held on 15 February 1993. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
nagaland,assembly-1998,assembly,Nagaland Assembly · February 1998,1998-02-23,2003-02-22,complete,60 ACs. Poll held on 23 February 1998; many candidates were elected unopposed. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
nagaland,assembly-2003,assembly,Nagaland Assembly · February 2003,2003-02-26,2008-02-25,complete,60 ACs. Poll held on 26 February 2003. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
nagaland,assembly-2013,assembly,Nagaland Assembly · February 2013,2013-02-23,2018-02-22,complete,60 ACs. Poll held on 23 February 2013. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
nagaland,assembly-2018,assembly,Nagaland Assembly · February 2018,2018-02-27,2023-03-12,complete,Single-phase poll on 27 February 2018. 60 ACs (Northern Angami-II AC 11 — Neiphiu Rio NDPP declared elected unopposed). Ingested from hand-downloaded ECI Section-10 Statistical Report XLSX; pre-2019 reports use literal NULL in vote columns for ACs where no poll was held.
nagaland,assembly-2023,assembly,Nagaland Assembly · February 2023,2023-02-27,2028-02-26,complete,Single-phase poll on 27 February 2023. 59 ACs (Akuluto seat uncontested). Ingested from hand-downloaded ECI Section-10 Statistical Report XLSX.
nagaland,assembly-1989,assembly,Nagaland Assembly · January 1989,1989-01-21,1994-01-20,complete,60 ACs. Public source records polling on 21 January 1989; event id follows the public polling month rather than the panel's counting-month value. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
nagaland,assembly-2008,assembly,Nagaland Assembly · March 2008,2008-03-05,2013-03-04,complete,60 ACs. Poll held on 5 March 2008. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
nagaland,assembly-1977,assembly,Nagaland Assembly · November 1977,1977-11-18,1982-11-17,complete,60 ACs. Poll held on 18 November 1977. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
nagaland,assembly-1982,assembly,Nagaland Assembly · November 1982,1982-11-10,1987-11-09,complete,60 ACs. Poll held on 10 November 1982. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
nagaland,assembly-1987,assembly,Nagaland Assembly · November 1987,1987-11-18,1992-11-17,complete,60 ACs. Poll held on 18 November 1987. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
nagaland,general-2019,parliament,Nagaland · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
nagaland,general-2024,parliament,Nagaland · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
odisha,assembly-2004,assembly,Odisha Assembly · April 2004,2004-04-26,2009-04-25,complete,147 ACs. Poll held on 20 and 26 April 2004; event date uses the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
odisha,assembly-2009,assembly,Odisha Assembly · April 2009,2009-04-23,2014-04-22,complete,147 ACs. Poll held on 16 and 23 April 2009 alongside Parliament 2009; event date uses the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
odisha,assembly-2014,assembly,Odisha Assembly · April 2014,2014-04-17,2019-04-16,complete,147 ACs. Poll held on 10 and 17 April 2014 alongside Parliament 2014; event date uses the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
odisha,assembly-2019,assembly,Odisha Assembly · April 2019,2019-04-29,2024-04-28,complete,"146 regular ACs in the panel. Poll held in four phases on 11, 18, 23, and 29 April 2019 alongside Parliament 2019; event date uses the final regular polling day. Patkura (AC 96) was postponed after a candidate death and later delayed by Cyclone Fani, so it is absent from this April panel slice. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4)."
odisha,assembly-1974,assembly,Odisha Assembly · February 1974,1974-02-01,1979-01-31,complete,"146 contested ACs in the panel; public page gives only year-level polling context, so the event id retains the panel month. Chilka had no nomination filed. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3)."
odisha,assembly-1990,assembly,Odisha Assembly · February 1990,1990-02-27,1995-02-26,complete,147 ACs. Poll held on 27 February 1990. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
odisha,assembly-2000,assembly,Odisha Assembly · February 2000,2000-02-22,2005-02-21,complete,147 ACs. Poll held on 17 and 22 February 2000; event date uses the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
