lgd_state_code,state_name,lgd_district_code,district_name,census_2001_code,census_2011_code
28,Andhra Pradesh,519,Srikakulam,11,542
28,Andhra Pradesh,520,Visakhapatnam,13,544
28,Andhra Pradesh,521,Vizianagaram,12,543
28,Andhra Pradesh,523,West Godavari,15,546
28,Andhra Pradesh,743,Parvathipuram Manyam,0,0
28,Andhra Pradesh,744,Anakapalli,0,0
28,Andhra Pradesh,745,Alluri Sitharama Raju,0,0
28,Andhra Pradesh,746,Kakinada,0,0
28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,0,0
28,Andhra Pradesh,748,Eluru,0,0
28,Andhra Pradesh,749,Ntr,0,0
28,Andhra Pradesh,750,Bapatla,0,0
28,Andhra Pradesh,751,Palnadu,0,0
28,Andhra Pradesh,752,Tirupati,0,0
28,Andhra Pradesh,753,Annamayya,0,0
28,Andhra Pradesh,754,Sri Sathya Sai,0,0
28,Andhra Pradesh,755,Nandyal,0,0
28,Andhra Pradesh,790,Markapuram,0,0
28,Andhra Pradesh,791,Polavaram,0,0
29,Karnataka,524,Bagalkote,2,556
29,Karnataka,525,Bengaluru Urban,20,572
29,Karnataka,526,Bengaluru Rural,21,583
29,Karnataka,527,Belagavi,1,555
29,Karnataka,528,Ballari,12,565
29,Karnataka,529,Bidar,5,558
29,Karnataka,530,Vijayapura,3,557
29,Karnataka,531,Chamarajanagar,27,578
29,Karnataka,532,Chikkamagaluru,17,570
29,Karnataka,533,Chitradurga,13,566
29,Karnataka,534,Dakshina Kannada,24,575
29,Karnataka,535,Davanagere,14,567
29,Karnataka,536,Dharwad,9,562
29,Karnataka,537,Gadag,8,561
29,Karnataka,538,Kalaburagi,4,579
29,Karnataka,539,Hassan,23,574
29,Karnataka,540,Haveri,11,564
29,Karnataka,541,Kodagu,25,576
29,Karnataka,542,Kolar,19,581
29,Karnataka,543,Koppal,7,560
29,Karnataka,544,Mandya,22,573
29,Karnataka,545,Mysuru,26,577
29,Karnataka,546,Raichur,6,559
29,Karnataka,547,Shivamogga,15,568
29,Karnataka,548,Tumakuru,18,571
29,Karnataka,549,Udupi,16,569
29,Karnataka,550,Uttara Kannada,10,563
29,Karnataka,630,Chikkaballapura,19,582
29,Karnataka,631,Bengaluru South,21,584
29,Karnataka,635,Yadgir,4,580
29,Karnataka,738,Vijayanagara,0,0
30,Goa,551,North Goa,1,585
30,Goa,552,South Goa,2,586
30,Goa,793,Kushavati,0,0
31,Lakshadweep,553,Lakshadweep District,1,587
32,Kerala,554,Alappuzha,11,598
32,Kerala,555,Ernakulam,8,595
32,Kerala,556,Idukki,9,596
32,Kerala,557,Kannur,2,589
32,Kerala,558,Kasaragod,1,588
32,Kerala,559,Kollam,13,600
32,Kerala,560,Kottayam,10,597
32,Kerala,561,Kozhikode,4,591
32,Kerala,562,Malappuram,5,592
32,Kerala,563,Palakkad,6,593
32,Kerala,564,Pathanamthitta,12,599
32,Kerala,565,Thiruvananthapuram,14,601
32,Kerala,566,Thrissur,7,594
32,Kerala,567,Wayanad,3,590
33,Tamil Nadu,568,Chennai,2,603
33,Tamil Nadu,569,Coimbatore,12,632
33,Tamil Nadu,570,Cuddalore,18,617
33,Tamil Nadu,571,Dharmapuri,5,630
33,Tamil Nadu,572,Dindigul,13,612
33,Tamil Nadu,573,Erode,10,610
33,Tamil Nadu,574,Kancheepuram,3,604
33,Tamil Nadu,575,Kanniyakumari,30,629
33,Tamil Nadu,576,Karur,14,613
33,Tamil Nadu,577,Krishnagiri,5,631
33,Tamil Nadu,578,Madurai,24,623
33,Tamil Nadu,579,Nagapattinam,19,618
33,Tamil Nadu,580,Namakkal,9,609
33,Tamil Nadu,581,Perambalur,16,615
33,Tamil Nadu,582,Pudukkottai,22,621
33,Tamil Nadu,583,Ramanathapuram,27,626
33,Tamil Nadu,584,Salem,8,608
33,Tamil Nadu,585,Sivaganga,23,622
33,Tamil Nadu,586,Thanjavur,21,620
33,Tamil Nadu,587,The Nilgiris,11,611
33,Tamil Nadu,588,Theni,25,624
33,Tamil Nadu,589,Thiruvallur,1,602
33,Tamil Nadu,590,Thiruvarur,20,619
33,Tamil Nadu,591,Tiruchirappalli,15,614
33,Tamil Nadu,592,Tirunelveli,29,628
33,Tamil Nadu,593,Tiruvannamalai,6,606
33,Tamil Nadu,594,Thoothukkudi,28,627
33,Tamil Nadu,595,Vellore,4,605
33,Tamil Nadu,596,Viluppuram,7,607
33,Tamil Nadu,597,Virudhunagar,26,625
33,Tamil Nadu,610,Ariyalur,17,616
33,Tamil Nadu,634,Tiruppur,0,633
33,Tamil Nadu,729,Kallakurichi,0,0
33,Tamil Nadu,730,Chengalpattu,0,0
33,Tamil Nadu,731,Ranipet,0,0
33,Tamil Nadu,732,Tirupathur,0,0
33,Tamil Nadu,733,Tenkasi,0,0
33,Tamil Nadu,735,Mayiladuthurai,0,0
34,Puducherry,598,Karaikal,4,637
34,Puducherry,600,Puducherry,2,635
35,Andaman And Nicobar Islands,602,South Andamans,1,640
35,Andaman And Nicobar Islands,603,Nicobars,2,638
35,Andaman And Nicobar Islands,632,North And Middle Andaman,0,639
36,Telangana,501,Adilabad,1,532
36,Telangana,507,Hyderabad,5,536
36,Telangana,508,Karimnagar,3,534
36,Telangana,509,Khammam,10,541
36,Telangana,512,Mahabubnagar,7,538
36,Telangana,513,Medak,4,535
36,Telangana,514,Nalgonda,8,539
36,Telangana,516,Nizamabad,2,533
36,Telangana,518,Ranga Reddy,6,537
36,Telangana,522,Warangal,9,540
36,Telangana,680,Nirmal,0,0
36,Telangana,681,Jagitial,0,0
36,Telangana,682,Peddapalli,0,0
36,Telangana,683,Rajanna Sircilla,0,0
36,Telangana,684,Mancherial,0,0
36,Telangana,685,Kamareddy,0,0
36,Telangana,686,Hanumakonda,0,0
36,Telangana,687,Jayashankar Bhupalapally,0,0
36,Telangana,688,Mahabubabad,0,0
36,Telangana,689,Jangoan,0,0
36,Telangana,690,Bhadradri Kothagudem,0,0
36,Telangana,691,Sangareddy,0,0
36,Telangana,692,Siddipet,0,0
36,Telangana,693,Wanaparthy,0,0
36,Telangana,694,Nagarkurnool,0,0
36,Telangana,695,Jogulamba Gadwal,0,0
36,Telangana,696,Suryapet,0,0
36,Telangana,697,Yadadri Bhuvanagiri,0,0
36,Telangana,698,Vikarabad,0,0
36,Telangana,699,Kumuram Bheem Asifabad,0,0
36,Telangana,700,Medchal Malkajgiri,0,0
36,Telangana,720,Mulugu,0,0
36,Telangana,721,Narayanpet,0,0
37,Ladakh,6,Kargil,8,4
37,Ladakh,9,Leh Ladakh,7,3
38,The Dadra And Nagar Haveli And Daman And Diu,463,Daman,2,495
38,The Dadra And Nagar Haveli And Daman And Diu,464,Diu,1,494
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,1,496
